%dict_expr_name%
0,100,50,100,0,0,0,0,100,0,100,0,65,100,100,0,0,100,0,100,0,100,0,100,100,0,0,100,100,0,0,0,0,35,100,100,100,0,0,0,0,0,100,100,100,100,100
0,100,50,100,0,0,0,0,100,0,100,0,100,0,100,0,50,100,0,100,0,100,0,100,100,0,0,100,100,0,0,0,0,0,100,100,100,100,50,0,100,0,100,0,50,100,100
0,100,50,100,0,0,0,0,50,50,100,0,100,0,100,0,50,50,0,100,0,100,0,100,100,0,0,100,100,0,0,0,0,0,100,100,100,100,0,0,100,0,100,100,100,100,100
51,100,0,69,40,69,0,0,67,54,84,0,80,47,3,97,56,0,0,99,0,93,0,100,95,9,100,9,75,34,0,77,0,58,99,100,100,45,15,96,18,100,10,100,30,100,99
100,100,0,95,5,85,0,0,85,95,95,0,99,1,5,96,86,0,0,99,0,97,0,100,97,0,99,0,100,1,0,60,0,35,99,100,100,0,2,96,5,100,30,99,9,100,99
33,100,0,78,78,44,0,0,67,0,89,0,89,11,0,100,44,0,0,100,0,89,0,100,89,0,100,0,44,11,0,100,0,78,100,100,100,100,11,100,44,100,0,100,89,100,89
33,100,0,87,60,47,0,0,67,93,87,0,100,0,0,93,53,0,0,100,0,80,0,100,93,0,100,0,73,33,0,87,0,80,100,100,100,80,33,100,7,100,0,100,7,100,100
100,100,0,10,0,59,0,0,85,100,97,0,93,0,0,93,80,0,0,100,0,100,0,100,96,0,100,0,100,2,0,65,0,15,100,100,100,100,75,100,100,100,9,98,100,100,100
0,100,0,33,67,0,0,0,33,0,67,0,100,100,0,100,0,0,0,100,0,67,0,100,100,0,100,0,67,0,0,67,0,67,100,100,100,67,0,67,0,100,0,100,33,100,100
99,100,0,99,0,75,0,0,80,99,95,0,0,95,1,90,75,0,0,100,0,99,0,100,98,99,99,98,99,40,0,99,0,50,100,99,100,0,40,95,0,99,15,99,40,100,100
100,100,0,100,67,67,0,0,67,0,100,0,100,0,0,100,33,0,0,100,0,100,0,100,100,0,100,0,100,100,0,100,0,67,100,100,100,33,0,100,33,100,33,100,33,100,100
0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,100,100,100,100,0,0,100,0,100,0,100,0,100,100
83,100,0,83,0,100,0,0,100,100,100,0,100,100,17,100,83,0,0,100,0,100,0,100,100,0,100,0,100,100,0,83,0,100,100,100,100,100,0,100,0,100,17,100,0,100,100
0,100,0,100,100,100,0,0,100,0,100,0,100,100,0,100,100,0,0,100,0,100,0,100,100,0,100,0,0,0,0,100,0,17,100,100,100,0,0,100,0,100,0,100,0,100,100
15,100,0,75,65,80,0,0,50,5,95,0,95,5,5,100,65,0,0,85,0,90,0,100,75,0,100,5,45,85,0,90,5,25,95,100,100,10,0,100,10,100,10,100,20,100,100
62,75,0,0,25,0,0,100,0,90,74,0,0,25,0,6,0,0,0,100,0,0,0,100,59,0,31,0,0,0,0,24,0,0,100,50,100,0,0,0,0,0,13,0,50,25,0
99,100,0,1,100,0,0,100,0,100,98,0,0,0,0,25,0,0,0,100,0,0,0,100,100,0,9,0,0,0,0,30,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0
100,100,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,100,0,0,0,100,50,0,100,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,100,0,0
50,100,0,0,0,0,0,100,0,95,100,0,0,100,0,0,0,0,0,100,0,0,0,100,35,0,13,0,0,0,0,65,0,0,100,100,100,0,0,0,0,0,50,0,100,100,0
0,0,0,0,0,0,0,100,0,65,0,0,0,0,0,0,0,0,0,100,0,0,0,100,50,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0
